en,es
Disaster Victim Identification,Identificación de víctimas de desastres
Introduction,Introducción
Go to https://familias.no/, Esp Ir a https://familias.no/
https://familias.no, https://familias.no/es
Power, Es:Power
Explanations, Es: Explanations
Analyses based on built in cases, Es:Analyses based on built in cases
Reset window, Es: Reset window
Pedigree, Es: Pedigree
None selected, Es: None selected 
Missing father, Es: Missing father
Missing brother, Es: Missing brother
Missing uncle, Es: Missing uncle
Missing first cousin, Es: Missing first cousin
Missing GF, 2 grandchildren typed, Es: Missing GF 2 grandchildren typed
Father, Padre
